id,name,subtitle,kind,start,end,includeStart,includeEnd,tags,color,html,deck,image
272231461522065,Réformes de Solon à Athènes,Réorganiser la cité selon la richesse,period,-594,-593,true,true,"[""Évènement""]",#3D7BE0,"<div><p>Face à une crise sociale et politique, Solon réorganise le corps civique athénien en quatre classes censitaires fondées sur la richesse. L’accès aux charges reste inégal, mais le classement par fortune déplace une partie de la hiérarchie politique hors de la seule naissance et constitue une étape de la transformation du régime athénien.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::05_Intelligence (Jacques Rancière)""]",[]
387588676097774,Réformes de Clisthène à Athènes,Dix tribus pour refonder l’isonomie,period,-508,-507,true,true,"[""Évènement""]",#3D7BE0,"<div><p>Après la chute de la tyrannie, Clisthène réorganise les citoyens en dix tribus mêlant des dèmes de la ville, du littoral et de l’intérieur. Cette redistribution territoriale affaiblit les anciennes solidarités aristocratiques et donne une base institutionnelle nouvelle à l’isonomie.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::05_Intelligence (Jacques Rancière)""]","[""ict_timeline_media/image-a41a9fdbeae8f2a8365be398030513f163ab0fab.png""]"
673084901441355,Indemnisation de la participation civique à Athènes,Rémunérer pour élargir la participation civique,period,-450,-425,true,true,"[""Évènement""]",#3D7BE0,"<div><p>Au Ve siècle av. J.-C., Périclès puis Cléon développent la rémunération de certaines fonctions civiques. Le misthos compense le temps consacré aux jurys ou aux institutions et permet aux citoyens les plus pauvres de participer plus effectivement à la vie politique.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::05_Intelligence (Jacques Rancière)""]",[]
247719381171361,"Platon, <u><i>La République</i></u>, livre VIII",Liberté démocratique et risque de tyrannie,point,-380,,true,true,"[""Référence""]",#25AEB1,"<div><p>Platon décrit la démocratie comme un régime où la liberté et la pluralité des désirs tendent à effacer les disciplines communes. L’homme démocratique passe d’un désir à l’autre et revendique de vivre comme il l’entend ; cet excès de liberté peut, dans le livre VIII, préparer le basculement vers la tyrannie. Rancière relit cette critique comme une matrice ancienne de la méfiance envers le « pouvoir de n’importe qui ».</p></div>","[""ICT::3 - Compo::Arte - Idées larges::05_Intelligence (Jacques Rancière)""]",[]
713756656648534,"Aristote, <u><i>Politique</i></u>, livre I","Esclavage, travail nécessaire et automatisation imaginée",point,-350,,true,true,"[""Référence""]",#25AEB1,"<div><p>Aristote justifie l’esclavage en l’inscrivant dans l’organisation du travail nécessaire à la cité. Il imagine toutefois que, si les outils pouvaient accomplir seuls leur tâche — comme des navettes de tisserand qui tisseraient d’elles-mêmes — maîtres et artisans n’auraient plus besoin d’esclaves ni d’aides. L’image associe ainsi très tôt la possibilité de l’automatisation à l’émancipation du travail nécessaire, tout en révélant la place centrale de l’esclavage dans son ordre social.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::02_Travail (Marie-Anne Dujarier)""]",[]
719875025708080,"Benoît de Nursie, <u><i>Règle de saint Benoît</i></u>",Le travail manuel comme discipline morale,point,530,,true,true,"[""Référence""]",#25AEB1,"<div><p>La règle bénédictine organise la journée monastique en alternant prière, lecture et travail manuel. La formule selon laquelle « la paresse est l’ennemie de l’âme » donne au travail une fonction morale : discipliner le corps et l’esprit, combattre l’acédie et inscrire l’activité quotidienne dans une économie du salut. Le labeur n’est donc pas seulement une nécessité matérielle, mais une pratique de formation de soi.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::02_Travail (Marie-Anne Dujarier)""]",[]
860854562444999,Crises successorales et construction de l’exclusion dynastique des femmes,Construire l’exclusion dynastique des femmes,period,1316,1328,true,true,"[""Évènement""]",#3D7BE0,"<div><p>Les crises successorales de 1316 et 1328 servent de point d’appui à l’exclusion progressive des femmes de la succession au trône. La préférence donnée à des héritiers masculins sera ensuite présentée comme l’application d’une antique « loi salique », alors que cette justification est reconstruite a posteriori par des juristes et des historiographes.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::01_Féminisme (Maud Simonet)""]",[]
161014409152799,Premières grandes enclosures anglaises,"Clôturer les communs, privatiser la terre",period,1450,1650,true,true,"[""Période""]",#8B5CC7,"<div><p>Dans l’Angleterre de la fin du Moyen Âge et du début de l’époque moderne, plusieurs droits se superposent sur une même terre : propriété seigneuriale, usages coutumiers, pâturage et communs. Les enclosures ferment progressivement ces espaces, déplacent les droits des commoners et rendent la terre plus facilement exclusive, vendable et hypothécable. Les conflits judiciaires contribuent à hiérarchiser les formes de preuve au profit des propriétaires fonciers.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::090_Propriété (Katharina Pistor)""]",[]
538173228271094,"Nicolas Machiavel, <u><i>Le Prince</i></u>",Dissimuler pour mieux gouverner,point,1532,,true,true,"[""Référence""]",#25AEB1,"<div><p>Rédigé en 1513 puis publié à titre posthume, <i>Le Prince</i> fait de la maîtrise des apparences une ressource du gouvernement. Le dirigeant efficace doit savoir combiner force et ruse, tenir son rôle, feindre ou dissimuler lorsque la conservation du pouvoir l’exige. La politique apparaît ainsi comme un domaine où visibilité publique et vérité des intentions ne coïncident pas nécessairement.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::03_Transparence, secret et publicité""]",[]
386316187565002,Contrôle des céréales et construction de l’État moderne,Le grain au cœur de l’État moderne,period,1650,1750,true,true,"[""Période""]",#8B5CC7,"<div><p>À l’époque moderne, le contrôle du grain devient une fonction centrale de l’État : approvisionner les villes et les armées, constituer des réserves, surveiller les marchés et assurer le transport. Parce que les céréales sont stockables, mesurables et taxables, leur administration soutient à la fois la fiscalité, la logistique militaire et la consolidation du pouvoir public.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::0915_Blé (Alessandro Stanziani)""]",[]
592764772758296,"Blaise Pascal, <u><i>Trois Discours sur la condition des grands</i></u>",La grandeur sociale comme convention collective,point,1670,,true,true,"[""Référence""]",#25AEB1,<div><p>La grandeur sociale n’est pas une supériorité naturelle: elle repose sur des conventions et sur la croyance collective. Le puissant doit connaître cet artifice et ne pas confondre son rang avec une différence de nature. « Le peuple qui vous admire ne connaît peut-être pas ce secret. Il croit que la noblesse est une grandeur réelle et il considère les grands comme étant d’une autre nature que les autres. »</p></div>,"[""ICT::3 - Compo::Arte - Idées larges::03_Transparence, secret et publicité""]",[]
587908361097021,"John Locke, <u><i>Two Treatises of Government</i></u>","Travail, appropriation et fondement de la propriété",point,1689,,true,true,"[""Référence""]",#25AEB1,"<div><p>Locke justifie l’appropriation privée par le travail : en transformant une ressource commune, l’individu y mêle quelque chose de lui-même. La propriété est ainsi rattachée à la personne, à l’effort et à l’autonomie. Ce raisonnement devient une référence majeure pour penser la légitimité de la propriété moderne, tout en posant la question de ses limites lorsque l’accumulation dépasse l’usage direct.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::02_Travail (Marie-Anne Dujarier)"",""ICT::3 - Compo::Arte - Idées larges::090_Propriété (Katharina Pistor)"",""ICT::3 - Compo::Arte - Idées larges::0910_Héritage (Mélanie Plouviez)""]",[]
241656578693062,"Chardin, <u><i>Le Bénédicité</i></u>",Rendre visible le travail domestique,point,1740,,true,true,"[""Référence""]",#25AEB1,"<div><p>Chardin place au centre une scène domestique ordinaire : une mère surveille le repas de ses deux enfants et fait réciter la prière avant de manger. Préparer, éduquer et prendre soin apparaissent comme des gestes quotidiens, essentiels à la reproduction de la vie familiale mais facilement naturalisés comme devoirs maternels plutôt que reconnus comme travail.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::01_Féminisme (Maud Simonet)""]","[""ict_timeline_media/F133-03-chardin-benedicite.jpg""]"
677095625480100,"William Hogarth, <u><i>Marriage A-la-Mode: The Marriage Settlement</i></u>",Le mariage comme transaction patrimoniale,point,1743,,true,true,"[""Référence""]",#25AEB1,"<div><p>Hogarth met en scène un mariage arrangé entre une aristocratie endettée et une bourgeoisie enrichie. L’argent, le contrat et les signes de rang occupent l’espace tandis que les futurs époux paraissent indifférents l’un à l’autre. La famille apparaît comme un lieu de conversion entre capital économique, prestige social et transmission patrimoniale.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::0911_Famille (Sibylle Gollac)""]","[""ict_timeline_media/paste-ff9105959ab1b24993a5e53b65631641dbff0cee.jpg""]"
472277831090095,"Thomas Gainsborough, <u><i>Mr and Mrs Andrews</i></u>","Mariage, propriété et statut social",point,1750,,true,true,"[""Référence""]",#25AEB1,"<div><p>Gainsborough représente Robert Andrews et Frances Carter devant leur domaine d’Auberies. Le couple, la terre et l’amélioration agricole forment un même portrait de statut social : la propriété foncière est montrée comme richesse maîtrisée, transmise et productive. L’œuvre permet ainsi de relier mariage, patrimoine et consolidation d’une propriété de plus en plus exclusive.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::090_Propriété (Katharina Pistor)""]","[""ict_timeline_media/Mr_and_Mrs_Andrews_1748-49.jpg""]"
760481965844202,Première révolution industrielle et énergie alimentaire,"Corps humains et animaux, moteurs de l’industrie",period,1750,1830,true,true,"[""Période""]",#8B5CC7,"<div><p>La première industrialisation ne remplace pas brutalement l’énergie musculaire. Les machines à vapeur coexistent avec le travail des ouvriers, des chevaux et d’autres animaux ; l’alimentation, notamment les céréales, reste donc une infrastructure énergétique de la production. L’histoire industrielle combine combustibles fossiles, force biologique et organisation du travail.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::0915_Blé (Alessandro Stanziani)""]",[]
393887976730049,"Voltaire, <u><i>Candide</i></u>","Le travail contre ennui, vice et besoin",point,1759,,true,true,"[""Référence""]",#25AEB1,"<div><p>La conclusion de <i>Candide</i> associe le travail à une fonction matérielle et morale : il permet d’éloigner « l’ennui, le vice et le besoin ». Après l’échec des grands systèmes explicatifs rencontrés au cours du récit, « cultiver notre jardin » ramène les personnages à une activité concrète, collective et limitée. Le travail devient une manière de produire sa subsistance et d’échapper aux spéculations stériles.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::02_Travail (Marie-Anne Dujarier)""]",[]
246992187938905,"Jean-Jacques Rousseau, <u><i>Émile ou De l’éducation</i></u>",Éduquer les femmes pour les hommes,point,1762,,true,true,"[""Référence""]",#25AEB1,"<div><p>Rousseau assigne explicitement l’éducation féminine aux besoins des hommes : plaire, être utile, élever les enfants, soigner et rendre la vie masculine agréable. L’inégalité entre les sexes est ainsi intégrée au programme éducatif et présentée comme conforme à la nature. La formation des filles prépare moins leur autonomie qu’un rôle relationnel et domestique défini depuis la position masculine.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::01_Féminisme (Maud Simonet)""]",[]
612418858943982,"Voltaire, <u><i>Lettre du 15 avril 1762</i></u>",La publicité contre l’arbitraire,point,15/04/1762,,true,true,"[""Référence""]",#25AEB1,"<div><p>La « publicité », au sens de rendre les faits et procédures publics, peut contenir le fanatisme en les soumettant au jugement commun. Le secret favorise au contraire l’arbitraire et l’emballement des passions.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::03_Transparence, secret et publicité""]",[]
104599990821814,"Adam Smith, <u><i>An Inquiry into the Nature and Causes of the Wealth of Nations</i></u>",Division du travail et gains de productivité,point,09/03/1776,,true,true,"[""Référence""]",#25AEB1,"<div><p>Smith place la division du travail au cœur de l’accroissement de la richesse. La spécialisation augmente l’habileté, réduit le temps perdu entre les tâches et favorise l’usage de machines ; elle permet ainsi de produire beaucoup plus avec une même quantité de travail. La productivité devient un mécanisme central de l’expansion économique.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::02_Travail (Marie-Anne Dujarier)""]",[]
732455427662360,Publicité des débats à l’Assemblée constituante,Délibérer sous le regard du peuple,point,1789,,true,true,"[""Évènement""]",#3D7BE0,<div><p>La publicité des débats révolutionnaires transforme le rapport entre représentants et représentés. Le député Bouche défend l’idée que les élus doivent délibérer sous le regard du peuple et pouvoir rendre compte de leurs décisions : la visibilité devient une condition de responsabilité politique.</p></div>,"[""ICT::3 - Compo::Arte - Idées larges::03_Transparence, secret et publicité""]",[]
527417052853788,"Jeremy Bentham, <u><i>An Introduction to the Principles of Morals and Legislation</i></u>",Maximiser l’utilité sous contrainte de rareté,point,1789,,true,true,"[""Référence""]",#25AEB1,"<div><p>Bentham propose d’évaluer les actions et les institutions d’après leurs conséquences sur le plaisir, la peine et le bonheur, avec pour horizon le plus grand bonheur du plus grand nombre. Appliqué à des ressources rares, ce principe oblige à préciser ce qui doit être maximisé : nombre de vies, années de vie, qualité de vie ou autre mesure d’utilité. Le calcul utilitariste rend ainsi explicites des arbitrages que d’autres principes peuvent laisser implicites.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::0912_Tri (Lachenal & Lefèvre)""]",[]
170918988088837,"Déclaration des droits de l’homme et du citoyen, article XV",Exiger des comptes des agents publics,point,26/08/1789,,true,true,"[""Loi""]",#E45AA6,<div><p>L’article XV de la Déclaration des droits de l’homme et du citoyen affirme que « la société a le droit de demander compte à tout agent public de son administration ». La reddition des comptes devient ainsi un principe politique : exercer une fonction publique implique de pouvoir justifier l’usage du pouvoir et des ressources devant les citoyens.</p></div>,"[""ICT::3 - Compo::Arte - Idées larges::03_Transparence, secret et publicité""]",[]
504060016359972,Révolution française : égalisation du droit successoral,Égaliser les successions par la Révolution,period,1790,1794,true,true,"[""Évènement""]",#3D7BE0,"<div><p>La Révolution française supprime les privilèges successoraux de l’Ancien Régime, réduit la primogéniture et encadre plus strictement le pouvoir de tester. La succession est pensée comme un instrument d’égalité civile entre héritiers, avant que le Code civil ne stabilise une égalité entre descendants directs tout en maintenant d’autres hiérarchies familiales.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::0910_Héritage (Mélanie Plouviez)""]",[]
258988783559651,Dominique-Jean Larrey et le triage militaire,"Trier selon l’urgence, non selon le rang",period,1792,1815,true,true,"[""Évènement""]",#3D7BE0,"<div><p>Dans les guerres révolutionnaires et napoléoniennes, Dominique-Jean Larrey développe une organisation du secours qui privilégie l’urgence médicale plutôt que le rang social ou militaire. Le triage devient ainsi une technique permettant d’ordonner les soins quand blessés, temps et moyens excèdent les capacités disponibles.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::0912_Tri (Lachenal & Lefèvre)""]",[]
172762889646138,Loi révolutionnaire instituant le divorce,Rendre le mariage civil dissoluble,point,20/09/1792,,true,true,"[""Loi""]",#E45AA6,"<div><p>La loi du 20 septembre 1792 fait du mariage un contrat civil dissoluble et introduit le divorce en France. Elle admet plusieurs causes de rupture ainsi que le consentement mutuel, rompant avec l’indissolubilité religieuse du mariage et donnant aux époux une possibilité nouvelle de sortir juridiquement de l’union.</p></div>","[""ICT::3 - Compo::Arte - Idées larges::01_Féminisme (Maud Simonet)""]",[]
